kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K03933.01,Kepler-1699 b,CANDIDATE → CONFIRMED,3.490785878,1.32,245.65,5496.0,q1_q17_dr25_tce,0.9565830838417275
K03936.01,,FALSE POSITIVE → CANDIDATE,141.608555,2.98,1.68,5083.0,q1_q17_dr25_tce,0.9813321407685007
K02172.02,Kepler-1801 c,CANDIDATE → CONFIRMED,116.583183,2.91,4.47,5738.0,q1_q17_dr25_tce,0.7519246540292586
K01936.01,,CANDIDATE → FALSE POSITIVE,1.339670241,1.27,33385.02,8867.0,q1_q17_dr25_tce,0.07014402295645666
K03936.02,Kepler-1930 b,CANDIDATE → CONFIRMED,13.0267964,2.08,40.51,5083.0,q1_q17_dr25_tce,0.9591605457997395
K03939.01,,CANDIDATE → FALSE POSITIVE,1.88665445,43.81,2453.86,6296.0,q1_q17_dr25_tce,0.18437811761772446
K04011.01,,CANDIDATE → FALSE POSITIVE,2.19068738,1.68,3913.33,6208.0,q1_q17_dr25_tce,0.33385913491172414
K04014.01,Kepler-1700 b,CANDIDATE → CONFIRMED,234.240739,3.41,2.77,5814.0,q1_q17_dr25_tce,0.903587367265768
K03943.01,Kepler-1931 b,CANDIDATE → CONFIRMED,38.5763483,2.05,34.77,6167.0,q1_q17_dr25_tce,0.5647690216264719
K01995.01,,CANDIDATE → FALSE POSITIVE,14.38724729,29.24,65.41,5830.0,q1_q17_dr25_tce,0.3146944222686562
K01855.01,,CANDIDATE → FALSE POSITIVE,58.4302648,3.45,1.91,4338.0,q1_q17_dr25_tce,0.613787297592008
K01131.01,,CANDIDATE → FALSE POSITIVE,0.696125302,28.44,1739.43,5245.0,q1_q17_dr25_tce,0.03674106955137054
K01943.01,Kepler-1676 b,CANDIDATE → CONFIRMED,29.92208104,3.09,88.52,6127.0,q1_q17_dr25_tce,0.9780955046860041
K02061.01,Kepler-2001 c,FALSE POSITIVE → CONFIRMED,14.092583189,1.82,30.1,5081.0,q1_q17_dr25_tce,0.9461460615021644
K01631.01,,FALSE POSITIVE → CANDIDATE,0.592243731,6.77,1361.22,4920.0,q1_q17_dr25_tce,0.6664645486371072
K02065.01,Kepler-1789 b,CANDIDATE → CONFIRMED,80.2321467,3.24,4.91,5436.0,q1_q17_dr25_tce,0.9822893374449767
K01871.02,Kepler-1996 b,CANDIDATE → CONFIRMED,32.376183,2.26,5.61,4580.0,q1_q17_dr25_tce,0.9791755797833775
K01783.02,Kepler-1662 c,CANDIDATE → CONFIRMED,284.063137,6.36,2.51,5791.0,q1_q17_dr25_tce,0.8878796194754764
K03006.01,,CANDIDATE → FALSE POSITIVE,0.998212785,1.1,2998.77,6072.0,q1_q17_dr25_tce,0.058263068619116135
