kepoi_name,kepid,kepler_name,koi_pdisposition,koi_score,ra,dec,koi_disposition,koi_disposition_2020,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_prad_err1,koi_prad_err2,koi_insol_err1,koi_insol_err2,seff_recent_venus,seff_runaway_greenhouse,seff_maximum_greenhouse,seff_early_mars,teff_in_range,hz_conservative,hz_optimistic,hz_conservative_possible,rocky,super_earth,sunlike_host,grazing,p_candidate,p_confirmed,p_false_positive,p_planet_like,model_verdict,p_planet_like_2020model
K03573.01,10068919,,FALSE POSITIVE,0.0,289.26416,47.005989,FALSE POSITIVE,FALSE POSITIVE,43.56225858,1.295,3.6873,51325.0,80.02,624.0,35.83,163.6,6411.0,4.307,1.216,13.676,25.27,-12.64,32.71,-13.36,1.9170295326104707,1.1949467196346826,0.39472324147456106,0.3548076606251054,True,False,False,False,False,False,True,True,0.0327,0.00209,0.96521,0.03479,FALSE POSITIVE,0.03979
K03574.01,7353970,,FALSE POSITIVE,0.0,289.02493,42.935928,FALSE POSITIVE,FALSE POSITIVE,198.443477,1.149,9.9776,39943.0,41.72,279.0,1.44,464.2,5420.0,4.502,0.868,13.76,4.23,-2.79,0.44,-0.29,1.7029562082124798,1.06145086466304,0.3341443028288,0.300354242388224,True,False,True,False,False,False,False,True,0.04076,0.00207,0.95717,0.04283,FALSE POSITIVE,0.16782
K03575.01,12316447,,FALSE POSITIVE,0.0,296.11542,51.007111,FALSE POSITIVE,FALSE POSITIVE,17.907664726,2.79,5.58652,265411.0,282.86,746.0,73.31,1731.4,6173.0,4.447,1.041,16.107,92.66,-30.97,72.83,-23.57,1.8629746123560775,1.1612375483921005,0.38030687185633144,0.3418489983218385,True,False,False,False,False,False,True,True,0.00542,0.00209,0.99249,0.00751,FALSE POSITIVE,0.00475
K07743.01,5823557,,FALSE POSITIVE,0.0,299.63028,41.03569,FALSE POSITIVE,FALSE POSITIVE,2.4044122,0.559,4.575,42.7,0.85,1662.0,1805.11,10.8,6398.0,4.276,1.249,13.894,0.26,-0.16,1615.47,-764.68,1.9140832813920798,1.1931094028685747,0.3939491458451239,0.3541118351626081,True,False,False,False,True,True,True,False,0.40393,0.00719,0.58888,0.41112,FALSE POSITIVE,0.50178
K03576.01,10491554,,FALSE POSITIVE,0.0,298.91333,47.657871,FALSE POSITIVE,FALSE POSITIVE,22.77196484,0.603,8.3476,325446.0,104.17,835.0,114.9,305.2,6049.0,4.067,1.557,15.018,28.91,-38.53,100.17,-75.33,1.835015812632068,1.143802276737674,0.37265769042568403,0.3349732863458478,True,False,False,False,False,False,True,False,0.03167,0.00203,0.9663,0.0337,FALSE POSITIVE,0.00349
K03577.01,9785454,,FALSE POSITIVE,0.0,297.34164,46.543362,FALSE POSITIVE,FALSE POSITIVE,184.52015392,0.886,15.3564,49269.0,23.38,275.0,1.36,1759.1,5341.0,4.514,0.776,14.07,4.21,-3.17,0.77,-0.45,1.6881231282573246,1.0522013661316552,0.32948640918827066,0.2961673040861633,True,False,True,True,False,False,False,False,0.00707,0.0026,0.99033,0.00967,FALSE POSITIVE,0.08064
K03349.01,8636333,Kepler-1475 b,CANDIDATE,0.967,295.94827,44.75312,CONFIRMED,CONFIRMED,82.175197,0.015,8.664,546.4,2.24,441.0,8.92,20.8,6247.0,4.489,0.954,15.292,0.68,-0.23,8.18,-2.63,1.8797714828023206,1.1717122128567765,0.38483666034788,0.34592075019288443,True,False,False,False,False,False,True,False,0.08078,0.88496,0.03426,0.96574,CONFIRMED,0.95602
K03350.01,7136958,,FALSE POSITIVE,0.0,296.93976,42.691921,FALSE POSITIVE,FALSE POSITIVE,29.015852933,12.223,7.19844,71432.1,1183.06,592.0,29.11,1268.8,5783.0,4.415,0.941,15.546,328.1,-201.2,24.94,-11.57,1.776641027610109,1.1073997419755277,0.35618514519560884,0.32016642365636144,True,False,False,False,False,False,True,True,0.0141,0.00727,0.97862,0.02138,FALSE POSITIVE,0.0037
K03351.01,1995732,,FALSE POSITIVE,0.0,286.216,37.42524,FALSE POSITIVE,FALSE POSITIVE,77.36241476,0.995,12.1317,96585.8,41.66,362.0,4.08,1246.3,5359.0,4.57,0.79,15.673,7.54,-3.48,2.31,-1.05,1.6914605421201852,1.0542824768214993,0.3305421615438428,0.2971163114810642,True,False,False,False,False,False,False,False,0.01403,0.00724,0.97873,0.02127,FALSE POSITIVE,0.00451
K07761.01,6069674,,FALSE POSITIVE,0.253,298.88452,41.300442,FALSE POSITIVE,FALSE POSITIVE,495.71095,0.718,4.514,443.1,4.41,330.0,2.8,8.5,6054.0,3.911,1.953,13.867,1.08,-2.01,2.15,-2.07,1.8361366157556318,1.1445012144946547,0.3729670912566278,0.3352514010248897,True,False,False,True,False,False,True,False,0.47078,0.002,0.52722,0.47278,FALSE POSITIVE,0.65223
K03352.01,8081239,Kepler-1476 b,CANDIDATE,0.998,284.5321,43.98996,CONFIRMED,CONFIRMED,10.35857039,0.074,2.577,273.7,1.68,860.0,129.28,15.1,5893.0,4.423,1.02,15.408,0.5,-0.22,113.22,-42.29,1.800440514424283,1.12224104776727,0.36299020647849023,0.3262833669049894,True,False,False,False,False,True,True,False,0.30835,0.53494,0.15672,0.84328,CONFIRMED,0.94423
K01562.02,5308663,,CANDIDATE,0.776,299.556,40.456551,CANDIDATE,CANDIDATE,20.0679247,0.849,5.236,482.2,2.25,662.0,45.49,13.8,5997.0,4.522,0.904,15.59,0.66,-0.21,40.49,-13.81,1.8234009892338068,1.1365592307065544,0.369437112771065,0.3320783692563662,True,False,False,False,False,False,True,False,0.30761,0.49262,0.19977,0.80023,CONFIRMED,0.92414
K03423.01,3745559,Kepler-1920 b,CANDIDATE,1.0,291.06204,38.863312,CONFIRMED,CANDIDATE,30.2541186,0.122,2.134,576.3,2.8,660.0,44.87,12.3,6277.0,4.402,1.161,14.296,0.96,-0.32,45.39,-14.13,1.8865917698671273,1.1759654063019336,0.3866626786991558,0.34756212967476685,True,False,False,False,False,False,True,False,0.43058,0.36475,0.20467,0.79533,CANDIDATE,0.95826
K03424.01,8356054,,FALSE POSITIVE,0.0,287.9726,44.333611,FALSE POSITIVE,FALSE POSITIVE,17.081202417,0.915,7.20617,134143.0,39.24,585.0,27.61,1524.8,5431.0,4.623,0.708,15.863,7.15,-3.05,16.63,-7.23,1.7050590877099678,1.0627621695062583,0.3347976996555944,0.30094157383499354,True,False,False,False,False,False,False,False,0.00567,0.00208,0.99225,0.00775,FALSE POSITIVE,0.00306
K03425.01,9117416,Kepler-1921 b,CANDIDATE,0.995,300.31619,45.49538,CONFIRMED,CANDIDATE,20.034708,0.193,6.49,124.4,2.24,967.0,207.16,22.9,6120.0,3.934,2.0,13.266,0.52,-0.9,150.16,-142.72,1.85098723239408,1.15376213771984,0.37704454453479996,0.33891654952430394,True,False,False,False,False,False,True,False,0.15417,0.81405,0.03179,0.96821,CONFIRMED,0.98527
K07776.01,6356400,,CANDIDATE,0.74,289.28772,41.799938,CANDIDATE,CANDIDATE,541.92452,0.95,21.4,1504.2,3.15,144.0,0.1,18.1,4378.0,4.64,0.614,15.671,0.23,-0.29,0.03,-0.02,1.5510629300368848,0.9667445270880842,0.279479193334199,0.2512146247487907,True,False,False,False,False,False,False,False,0.28799,0.05241,0.6596,0.3404,FALSE POSITIVE,0.29744
K03425.02,9117416,Kepler-1921 c,CANDIDATE,0.953,300.31619,45.49538,CONFIRMED,CANDIDATE,3.15722086,0.001,3.762,49.7,1.41,1791.0,2436.47,17.4,6120.0,3.934,2.0,13.266,0.33,-0.57,1766.22,-1678.55,1.85098723239408,1.15376213771984,0.37704454453479996,0.33891654952430394,True,False,False,False,True,True,True,False,0.07936,0.82924,0.09141,0.90859,CONFIRMED,0.91555
